track_name,artist,album,release_date,duration,popularity,explicit,track_number,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri
船窓,Emerson Kitamura,船窓 / おろかな指,2022-08-03,210800,22,False,1,0.688,0.297,3,-15.369,1,0.0636,0.505,0.921,0.113,0.0391,124.007,spotify:track:75q97me0dAUd7GDbilPCiu
I Found What I've Been Searching For,La'Verne Washington,The Promise / I Found What I've Been Searching For,2020-08-21,259540,29,False,2,0.53,0.694,1,-4.774,1,0.0374,0.282,0.0,0.279,0.474,149.533,spotify:track:1OvyyA8AHjfAdDmnM6KOlY
"Good Thoughts, Bad Thoughts",Funkadelic,Standing On The Verge Of Getting It On,1974-07-10,737130,41,False,7,0.398,0.306,4,-17.293,0,0.0363,0.934,0.0121,0.215,0.293,108.145,spotify:track:2jIMUFk9VGIOUYTWyx2pC5
Such a Feeling,Aurra,Live and Let Live,1983-01-01,321533,0,False,1,0.767,0.784,0,-6.8,1,0.0592,0.153,1.66e-05,0.0557,0.708,108.005,spotify:track:6avNBU8cdaICX5wDd2cINn
High John,MAVI,"Laughing so Hard, it Hurts",2022-10-14,130156,57,True,1,0.545,0.54,11,-10.01,1,0.48,0.718,0.0,0.207,0.657,170.387,spotify:track:55liByWjb2T7j0vohSel10
No Passa,2fox,Peace of Mind,2022-10-28,217621,0,False,2,0.774,0.716,0,-7.907,1,0.0632,0.0283,0.0479,0.172,0.686,125.01,spotify:track:2jT3SPpQCkkHilhF799MUR
The Dreaming Moon,The Magnetic Fields,Get Lost,1995-09-19,204800,46,False,13,0.501,0.851,9,-10.885,1,0.0326,0.0478,0.77,0.0642,0.949,164.016,spotify:track:3aVBGDsM3G8QXAmS9O5nqG
nyc in 1940,berlioz,nyc in 1940,2022-06-03,156611,67,False,1,0.839,0.482,9,-13.931,0,0.121,0.337,0.89,0.0859,0.585,116.998,spotify:track:6loDuwmsq6fazVxqqRhmcp
Sour Face - dego Remix,Bryony Jarman-Pinto,Sour Face: dego & 2000Black Remixes,2020-10-08,252959,29,False,1,0.852,0.694,2,-7.173,1,0.0483,0.277,0.00138,0.12,0.908,122.001,spotify:track:4De3lEHnFuHMb3ZJjfQVa8
When There’S Love Around (Remastered) - Live,The Crusaders,New Orleans Jazz And Heritage Festival April 19Th 1977 - Live (Remastered),1977,604053,0,False,2,0.54,0.705,1,-10.62,1,0.0524,0.703,0.473,0.551,0.683,111.403,spotify:track:400Zk25frc68xg3fgxRaSR
Downtown,Sally C,Big Saldo's Chunker 002,2022-04-22,322009,29,False,2,0.768,0.942,0,-8.336,1,0.0538,0.00103,0.332,0.389,0.603,129.008,spotify:track:1YvlimLxXzHQIE476nBFws
Soft Peng - JD. Reid Remix,Ebi Soda,Soft Peng (JD. Reid Remix),2023-01-17,266775,11,False,1,0.659,0.52,4,-12.157,0,0.0717,0.163,0.366,0.106,0.476,160.064,spotify:track:4zHdM8eguZBF1TC3C8bTNm
Reasons,Ishmael Ensemble,Reasons,2023-01-13,292495,18,False,1,0.313,0.537,10,-9.913,0,0.0822,0.0167,0.0657,0.102,0.17,171.362,spotify:track:0afUusMZLIOvAJNdAoDRQm
Spiral,The Vernon Spring,A Plane Over Woods,2021-03-26,60173,51,False,6,0.301,0.114,6,-21.377,0,0.0656,0.946,0.882,0.11,0.341,179.211,spotify:track:2EkXlmrnIdCWrSgt9CqgZ9
Something to Do in the Future,Ebi Soda,Ugh,2020-05-22,166034,46,False,9,0.564,0.419,1,-10.054,1,0.0366,0.863,0.957,0.0847,0.151,72.44,spotify:track:6XDmTtxkGHoBau4iyV977T
Nature's Ratio,Slowly Rolling Camera,Juniper,2018-07-06,117946,54,False,6,0.0,0.0473,7,-16.737,1,0.0,0.979,0.959,0.187,0.0,0.0,spotify:track:1MSRIh0BHzrMMUQGlV6I5o
The Duke,DARGZ,The Duke,2022-01-28,110869,54,False,1,0.626,0.536,6,-7.407,0,0.112,0.485,0.393,0.103,0.635,91.17,spotify:track:6Sn8gX7ls3ub1mKEpvBD5S
Ada,Nala Sinephro,Touching Bass presents: Soon Come,2022-07-01,80083,36,False,9,0.295,0.131,6,-14.901,0,0.0389,0.995,0.864,0.151,0.0555,77.219,spotify:track:7glonKcaKhAmoK5MiewROa
"Now (Pink Triangle, Blue Valley)",Alabaster DePlume,GOLD,2022-04-01,426640,12,False,19,0.287,0.226,3,-13.168,0,0.0352,0.915,0.907,0.151,0.112,100.017,spotify:track:1BevvrRMPfzf4vo74MoX67
Peace Be Unto You (PBUY),Asake,Peace Be Unto You (PBUY),2022-06-16,153103,49,False,1,0.808,0.769,7,-7.207,0,0.0833,0.101,4.12e-05,0.119,0.685,116.001,spotify:track:1mJFFeluclL38IwV264lm9
Black Mona Lisa,Braxton Cook,Indie,2023-01-13,344428,0,False,3,0.3,0.619,8,-7.436,1,0.0414,0.457,0.185,0.112,0.118,92.095,spotify:track:4ah8uApF3wLXMuOUds7ORU
